,season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
120,2016,REG,3,Jeremy Hill,RB,CIN,3.0330927835051544,35.294117647058826,2.577764705882353,17,97,,,5.705882352941177,,,2,00-0031301,Jeremy,Hill,32,J.Hill
121,2016,REG,3,C.J. Anderson,RB,DEN,5.347297297297298,14.285714285714285,2.9385833333333333,14,37,,,2.642857142857143,,,0,00-0029854,C.J.,Anderson,22,C.Anderson
122,2016,REG,3,Orleans Darkwa,RB,NYG,2.8647169811320756,0.0,2.455222222222222,10,53,,,5.3,,,1,00-0030860,Orleans,Darkwa,26,O.Darkwa
123,2016,REG,3,Spencer Ware,RB,KC,4.9692,20.0,2.5016000000000007,20,75,,,3.75,,,0,00-0030414,Spencer,Ware,32,S.Ware
124,2016,REG,3,Chris Ivory,RB,JAX,12.867142857142857,8.333333333333332,3.225399999999999,12,14,,,1.1666666666666667,,,0,00-0027531,Christopher,Ivory,33,C.Ivory
125,2016,REG,3,Christine Michael,RB,SEA,3.646603773584906,5.0,2.437833333333333,20,106,,,5.3,,,2,00-0030432,Christine,Michael,32,C.Michael
126,2016,REG,3,Latavius Murray,RB,LV,4.317837837837837,40.0,2.8499000000000003,10,37,,,3.7,,,1,00-0030513,Latavius,Murray,28,L.Murray
127,2016,REG,3,Wendell Smallwood,RB,PHI,4.069493670886075,41.17647058823529,2.9725624999999996,17,79,,,4.647058823529412,,,1,00-0032782,Wendell,Smallwood,28,W.Smallwood
128,2016,REG,3,Tevin Coleman,RB,ATL,5.511666666666666,8.333333333333332,2.637583333333333,12,42,,,3.5,,,3,00-0032058,Tevin,Coleman,26,T.Coleman
129,2016,REG,3,Todd Gurley,RB,LAR,4.641294117647059,18.51851851851852,2.4092399999999996,27,85,,,3.1481481481481484,,,2,00-0032241,Todd,Gurley,30,T.Gurley
130,2016,REG,3,Terrance West,RB,BAL,3.406000000000001,0.0,2.6402,10,45,,,4.5,,,0,00-0031375,Terrance,West,28,T.West
131,2016,REG,3,Derrick Henry,RB,TEN,3.8846666666666674,40.0,2.446111111111111,10,45,,,4.5,,,0,00-0032764,Derrick,Henry,22,D.Henry
132,2016,REG,3,LeSean McCoy,RB,BUF,3.432818181818182,35.294117647058826,2.6852666666666662,17,110,,,6.470588235294118,,,2,00-0027029,LeSean,McCoy,25,L.McCoy
133,2016,REG,3,DeMarco Murray,RB,TEN,3.0593859649122805,25.0,2.9005333333333336,16,114,,,7.125,,,1,00-0028009,DeMarco,Murray,29,D.Murray
134,2016,REG,3,Matt Jones,RB,WAS,4.243692307692308,17.647058823529413,2.9420666666666664,17,65,,,3.823529411764706,,,0,00-0031939,Matt,Jones,31,M.Jones
135,2016,REG,3,Charles Sims,RB,TB,4.161636363636364,46.15384615384615,2.585,13,55,,,4.230769230769231,,,1,00-0031390,Charles,Sims,34,C.Sims
136,2016,REG,3,Shane Vereen,RB,NYG,2.3920895522388053,0.0,2.5889,11,67,,,6.090909090909091,,,1,00-0027994,Shane,Vereen,34,S.Vereen
137,2016,REG,3,Melvin Gordon,RB,LAC,5.940857142857142,12.5,2.427,16,35,,,2.1875,,,1,00-0032144,Melvin,Gordon,28,M.Gordon
138,2016,REG,3,Lamar Miller,RB,HOU,3.8721250000000014,4.761904761904762,2.314894736842105,21,80,,,3.8095238095238093,,,0,00-0029615,Lamar,Miller,26,L.Miller
139,2016,REG,3,Devonta Freeman,RB,ATL,2.7513157894736837,7.142857142857142,2.5131666666666668,14,152,,,10.857142857142858,,,0,00-0031285,Devonta,Freeman,24,D.Freeman
140,2016,REG,3,LeGarrette Blount,RB,NE,3.183619047619048,41.66666666666667,2.410571428571429,24,105,,,4.375,,,2,00-0027325,LeGarrette,Blount,29,L.Blount
