"Player","DK Pos","Team","Opp","DK Salary","DK Proj","DK Value","Small Field","Large Field","DK Floor","DK Ceiling","id"
"Packers ","DST","GB","@NYG","$3,600","8.9","0.8","10.0%","11.2%","2.6","16.7","40743278"
"Mark Andrews","TE","BAL","@CLE","$3,500","9.0","-1.0","4.6%","5.3%","2.1","17.5","40743054"
"Gabe Davis","WR","BUF","TB","$3,500","3.4","-6.6","0.0%","0.0%","0.0","9.3","40742734"
"Evan Engram","TE","DEN","KC","$3,500","8.5","-1.5","0.6%","1.3%","2.5","15.8","40743056"
"Jayden Higgins","WR","HOU","@TEN","$3,500","5.6","-4.3","0.1%","0.2%","0.7","12.7","40742732"
"Jalen Nailor","WR","MIN","CHI","$3,500","6.2","-3.8","0.5%","1.6%","0.7","14.3","40742730"
"Falcons ","DST","ATL","CAR","$3,500","7.3","-0.6","0.8%","2.1%","1.5","14.5","40743279"
"DeAndre Hopkins","WR","BAL","@CLE","$3,400","6.0","-3.7","0.2%","0.8%","0.7","13.7","40742740"
"Cedric Tillman","WR","CLE","BAL","$3,400","5.6","-4.2","0.1%","0.2%","0.8","12.3","40742736"
"Jaylin Noel","WR","HOU","@TEN","$3,400","4.4","-5.4","0.0%","0.0%","0.3","10.3","40742742"
"Tyquan Thornton","WR","KC","@DEN","$3,400","1.7","-8.1","0.0%","0.0%","0.0","6.1","40742738"
"Chig Okonkwo","TE","TEN","HOU","$3,400","6.1","-3.7","0.1%","0.2%","1.2","12.1","40743060"
"49ers ","DST","SF","@ARI","$3,400","7.1","-0.7","1.1%","1.6%","1.2","14.1","40743280"
"Greg Dortch","WR","ARI","SF","$3,300","8.3","-1.2","10.7%","10.2%","2.4","16.2","40742748"
"Joshua Palmer","WR","BUF","TB","$3,300","6.1","-3.4","2.1%","1.8%","0.7","13.9","40742746"
"Dawson Knox","TE","BUF","TB","$3,300","6.5","-3.0","0.5%","1.2%","1.1","13.8","40743064"
"Olamide Zaccheaus","WR","CHI","@MIN","$3,300","8.4","-1.1","5.1%","5.0%","2.1","17.1","40742750"
"David Njoku","TE","CLE","BAL","$3,300","6.8","-2.7","1.0%","1.0%","1.6","13.2","40743062"
"Tre' Harris","WR","LAC","@JAX","$3,300","4.5","-5.1","0.0%","0.1%","0.3","10.8","40742744"
"Steelers ","DST","PIT","CIN","$3,300","6.9","-0.6","3.6%","4.6%","1.1","14.1","40743281"
"Curtis Samuel","WR","BUF","TB","$3,200","1.5","-7.9","0.0%","0.0%","0.0","5.1","40742752"
"Noah Fant","TE","CIN","@PIT","$3,200","6.8","-2.5","0.7%","1.1%","1.5","13.5","40743066"
"JuJu Smith-Schuster","WR","KC","@DEN","$3,200","3.0","-6.3","0.1%","0.1%","0.0","8.2","40742754"
"Roman Wilson","WR","PIT","CIN","$3,200","4.0","-5.3","0.7%","0.3%","0.0","10.3","40742756"
"Pat Freiermuth","TE","PIT","CIN","$3,200","8.4","-1.0","5.1%","4.1%","1.9","16.7","40743068"
"Kameron Johnson","WR","TB","@BUF","$3,200","0.7","-8.7","0.0%","0.0%","0.0","2.7","40742758"
"Bills ","DST","BUF","TB","$3,200","6.9","-0.4","2.4%","2.3%","1.2","14.0","40743282"
"Jalen Coker","WR","CAR","@ATL","$3,100","6.2","-3.0","0.2%","0.7%","1.0","13.4","40742766"
"Pat Bryant","WR","DEN","KC","$3,100","3.2","-6.0","0.1%","0.3%","0.0","8.3","40742764"
"Xavier Hutchinson","WR","HOU","@TEN","$3,100","3.4","-5.8","0.0%","0.1%","0.0","8.8","40742762"
"Tyler Conklin","TE","LAC","@JAX","$3,100","0.3","-8.9","0.0%","0.0%","0.0","0.7","40743072"
"AJ Barner","TE","SEA","@LA","$3,100","6.6","-2.6","0.2%","0.8%","1.2","13.3","40743070"
"Van Jefferson","WR","TEN","HOU","$3,100","1.8","-7.3","0.0%","0.0%","0.0","5.7","40742760"
"Chiefs ","DST","KC","@DEN","$3,100","6.4","-0.8","1.6%","1.9%","0.8","13.3","40743283"
"Xavier Weaver","WR","ARI","SF","$3,000","3.9","-5.0","0.0%","0.0%","0.0","10.4","40742922"
"Andre Baccellia","WR","ARI","SF","$3,000","0.6","-8.4","0.1%","0.2%","0.0","2.3","40742928"
"KhaDarel Hodge","WR","ATL","CAR","$3,000","0.1","-8.8","0.0%","0.0%","0.0","0.6","40742772"
"Casey Washington","WR","ATL","CAR","$3,000","0.1","-8.8","0.0%","0.0%","0.0","0.5","40742774"
