"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Kalif Raymond","WR","DET","NYG","4.7","3.9","4.7","3.0","3.9","4.7","11.6","10.1","Main"
"Calvin Austin","WR","PIT","@CHI","4.7","3.9","4.7","3.1","3.9","4.7","11.5","10.0","Main"
"Demarcus Robinson","WR","SF","CAR","4.7","4.0","4.6","3.2","3.9","4.6","12.0","10.7","Monday"
"HOU DST","DST","HOU","BUF","4.7","4.7","5.5","4.7","4.7","4.7","11.3","11.3","Thursday"
"Chuba Hubbard","RB","CAR","@SF","4.6","4.0","4.6","3.4","4.0","4.5","10.7","9.7","Monday"
"Kavontae Turpin","WR","DAL","PHI","4.6","3.8","4.6","2.9","3.8","4.6","10.8","9.3","Main"
"Nick Chubb","RB","HOU","BUF","4.6","4.2","4.6","3.8","4.1","4.5","10.3","9.6","Thursday"
"Jalen Nailor","WR","MIN","@GB","4.6","3.8","4.6","2.9","3.8","4.6","10.9","9.3","Main"
"Mason Kinsey","WR","TEN","SEA","4.6","3.6","4.5","2.7","3.6","4.5","10.6","8.9","Main"
"Christian Kirk","WR","HOU","BUF","4.5","3.6","4.5","2.6","3.5","4.4","10.6","8.9","Thursday"
"Isaiah Williams","WR","NYJ","@BAL","4.5","3.5","4.5","2.6","3.5","4.5","10.1","8.4","Main"
"Keaton Mitchell","RB","BAL","NYJ","4.4","4.2","4.3","4.0","4.2","4.3","11.2","10.9","Main"
"Mitchell Tinsley","WR","CIN","NE","4.4","3.6","4.3","2.8","3.6","4.3","10.8","9.4","Main"
"Elijah Arroyo","TE","SEA","@TEN","4.4","3.5","5.2","2.7","3.5","4.4","10.4","8.9","Main"
"Jordan Mason","RB","MIN","@GB","4.3","4.0","4.2","3.7","4.0","4.2","10.0","9.5","Main"
"CAR DST","DST","CAR","@SF","4.2","4.2","4.9","4.2","4.2","4.2","10.7","10.7","Monday"
"Xavier Weaver","WR","ARI","JAX","4.0","3.3","4.0","2.6","3.3","4.0","10.2","8.9","Main"
"Ty Johnson","RB","BUF","@HOU","4.0","3.4","4.0","2.8","3.4","3.9","9.9","8.8","Thursday"
"Noah Gray","TE","KC","IND","4.0","3.2","4.8","2.4","3.2","4.0","9.7","8.2","Main"
"Tommy Tremble","TE","CAR","@SF","3.9","3.1","4.8","2.2","3.1","3.9","9.2","7.6","Monday"
"Ryan Flournoy","WR","DAL","PHI","3.9","3.1","3.9","2.4","3.1","3.8","9.6","8.2","Main"
"Davis Allen","TE","LA","TB","3.9","3.1","4.7","2.4","3.1","3.9","9.7","8.3","Sunday"
"Xavier Hutchinson","WR","HOU","BUF","3.8","3.1","3.8","2.4","3.1","3.8","9.5","8.1","Thursday"
"Austin Hooper","TE","NE","@CIN","3.8","3.1","4.5","2.5","3.1","3.8","9.9","8.6","Main"
"NYJ DST","DST","NYJ","@BAL","3.8","3.8","4.6","3.8","3.8","3.8","10.1","10.1","Main"
"TEN DST","DST","TEN","SEA","3.8","3.8","4.5","3.8","3.8","3.8","10.1","10.1","Main"
"Foster Moreau","TE","NO","ATL","3.7","3.0","4.4","2.3","3.0","3.7","9.3","7.9","Main"
"TB DST","DST","TB","@LA","3.7","3.7","4.4","3.7","3.7","3.7","10.0","10.0","Sunday"
"John FitzPatrick","TE","GB","MIN","3.5","2.8","4.2","2.1","2.8","3.5","8.8","7.4","Main"
"Jaylin Noel","WR","HOU","BUF","3.5","2.8","3.5","2.1","2.8","3.5","8.9","7.5","Thursday"
"Mason Tipton","WR","NO","ATL","3.5","2.9","3.5","2.2","2.8","3.5","9.1","7.8","Main"
"Raheem Mostert","RB","LV","CLE","3.4","3.0","3.4","2.6","3.0","3.4","8.7","7.9","Main"
"Kyle Juszczyk","RB","SF","CAR","3.4","2.7","3.4","2.0","2.7","3.4","9.1","7.7","Monday"
"Isaac TeSlaa","WR","DET","NYG","3.3","2.8","3.3","2.3","2.8","3.3","9.5","8.5","Main"
"Olamide Zaccheaus","WR","CHI","PIT","3.2","2.5","3.2","1.9","2.5","3.2","8.4","7.1","Main"
"Daniel Bellinger","TE","NYG","@DET","3.2","2.6","3.8","1.9","2.5","3.2","8.0","6.7","Main"
"Isaiah Bond","WR","CLE","@LV","3.1","2.6","3.1","2.1","2.6","3.1","8.3","7.2","Main"
"Jackson Hawes","TE","BUF","@HOU","3.0","2.4","3.6","1.9","2.4","3.0","8.0","6.9","Thursday"
"Jahan Dotson","WR","PHI","@DAL","3.0","2.5","3.0","2.0","2.5","3.0","8.6","7.5","Main"
"JuJu Smith-Schuster","WR","KC","IND","2.9","2.3","2.9","1.7","2.3","2.9","8.0","6.8","Main"
"Jordan Whittington","WR","LA","TB","2.9","2.4","2.9","1.8","2.4","2.9","8.0","6.8","Sunday"
"NYG DST","DST","NYG","@DET","2.7","2.7","3.6","2.7","2.7","2.7","8.8","8.8","Main"
"Charlie Kolar","TE","BAL","NYJ","2.6","2.1","3.1","1.7","2.1","2.6","7.5","6.4","Main"
"Tanner Hudson","TE","CIN","NE","2.6","2.0","3.2","1.4","2.0","2.6","6.6","5.3","Main"
